Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","254","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2919","Fruits - Excluding Wine","2018","2018","1000 tonnes","715","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2018","2018","kg","83.82","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","664","Food supply (kcal/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","kcal/capita/day","129","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","661","Food supply (kcal)","S2919","Fruits - Excluding Wine","2018","2018","million kcal","400070","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","674","Protein supply quantity (g/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","g/capita/day","1.48","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","671","Protein supply quantity (g)","S2919","Fruits - Excluding Wine","2018","2018","g","4596","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","684","Fat supply quantity (g/capita/day)","S2919","Fruits - Excluding Wine","2018","2018","g/capita/day","1.02","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","681","Fat supply quantity (g)","S2919","Fruits - Excluding Wine","2018","2018","g","3169","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2922","Stimulants","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2922","Stimulants","2018","2018","1000 tonnes","256","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2922","Stimulants","2018","2018","1000 tonnes","-5","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2922","Stimulants","2018","2018","1000 tonnes","156","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2922","Stimulants","2018","2018","1000 tonnes","105","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2922","Stimulants","2018","2018","1000 tonnes","38","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2922","Stimulants","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5142","Food","S2922","Stimulants","2018","2018","1000 tonnes","67","E","Estimated value"
